setAuthorName	setAuthorEmail	setOrganization	setExperimentTitle	setName	setDescription	setURI	setTool	setTool(Date)	addAlgorithm	addAlgorithm(URI)	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	C00 	Chunks from the Charniak Parser	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	C00 	2005	C00 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				94.2				0
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	BI-LSTM-CRF 	Bidirectional LSTM-CRF Model	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	BI-LSTM-CRF 	2015	BI-LSTM-CRF 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				94.46				0
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	Vector Based Similarity (Baseline) 	cosine similarity with tf-idf weighting 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	Vector Based Similarity (Baseline) 	2004	Vector Based Similarity (Baseline) 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				65.4				75.3
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	ESA 	explicit semantic space 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	ESA 	2004	ESA 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				67				79.3
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	KM 	combination of lexical and semantic features 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	KM 	2004	KM 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.6				79.6
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	LSA 	latent semantic space 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	LSA 	2004	LSA 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				68.8				79.9
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	RMLMG 	graph subsumption 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	RMLMG 	2004	RMLMG 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				70.6				80.5
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	MCS 	combination of several word similarity measures 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	MCS 	2004	MCS 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				70.3				81.3
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	STS 	combination of semantic and string similarity 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	STS 	2004	STS 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				72.6				81.3
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	SSA 	salient semantic space 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SSA 	2004	SSA 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				72.5				81.4
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	QKC 	sentence dissimilarity classification 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	QKC 	2004	QKC 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				72				81.6
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	ParaDetect 	PI using semantic heuristic features 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	ParaDetect 	2004	ParaDetect 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				74.7				81.8
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	Vector-based similarity 	Additive composition of vectors and cosine distance 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	Vector-based similarity 	2004	Vector-based similarity 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				73				82
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	SDS 	simple distributional semantic space 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SDS 	2004	SDS 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				73				82.3
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	matrixJcn 	JCN WordNet similarity with matrix 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	matrixJcn 	2004	matrixJcn 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				74.1				82.4
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	FHS 	combination of MT evaluation measures as features 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	FHS 	2004	FHS 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				75				82.7
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	PE 	product of experts 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	PE 	2004	PE 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.1				82.7
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	WDDP 	dependency-based features 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	WDDP 	2004	WDDP 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				75.6				83
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	SHPNM 	recursive autoencoder with dynamic pooling 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SHPNM 	2004	SHPNM 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.8				83.6
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	MTMETRICS 	combination of eight machine translation metrics 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	MTMETRICS 	2004	MTMETRICS 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				77.4				84.1
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	Multi-Perspective CNN 	Multi-perspective Convolutional NNs and structured similarity layer 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	Multi-Perspective CNN 	2004	Multi-Perspective CNN 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				78.6				84.7
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	SAMS-RecNN 	Recursive NNs using syntax-aware multi-sense word embeddings	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SAMS-RecNN 	2004	SAMS-RecNN 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				78.6				85.3
Dolan, B. 	emailexample@aclweb.org	Not Informed	Paraphrase Identification (State of the art)	TF-KLD 	Matrix factorization with supervised reweighting 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	TF-KLD 	2004	TF-KLD 	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				80.4				85.9
Satoshi Sekine 	SEKINE@cs.nyu.edu	New York University	Parsing (State of the art)	Charniak & Johnson's Parser 	Lexicalized N-Best PCFG + Discriminative reranking 	http://aclweb.org/aclwiki/index.php?title=Parsing_(State_of_the_art)	Charniak & Johnson's Parser 	2013	Charniak & Johnson's Parser 	http://aclweb.org/aclwiki/index.php?title=Parsing_(State_of_the_art)				91.4				0
Satoshi Sekine 	SEKINE@cs.nyu.edu	New York University	Parsing (State of the art)	Self-trained Charniak & Johnson Parser	Above + self-training on ~2 million raw sentences from NC	http://aclweb.org/aclwiki/index.php?title=Parsing_(State_of_the_art)	Self-trained Charniak & Johnson Parser	2013	Self-trained Charniak & Johnson Parser	http://nlp.stanford.edu/~mcclosky/selftraining.html				92.1				0
Satoshi Sekine 	SEKINE@cs.nyu.edu	New York University	Parsing (State of the art)	Collins' Parser	Lexicalized PCFG	http://aclweb.org/aclwiki/index.php?title=Parsing_(State_of_the_art)	Collins' Parser	2013	Collins' Parser	http://www.cis.upenn.edu/~dbikel/software.html				0				0
Satoshi Sekine 	SEKINE@cs.nyu.edu	New York University	Parsing (State of the art)	Berkeley Parser	Automatically induced PCFG	http://aclweb.org/aclwiki/index.php?title=Parsing_(State_of_the_art)	Berkeley Parser	2013	Berkeley Parser	http://www.cis.upenn.edu/~dbikel/software.html				90.1				0
Satoshi Sekine 	SEKINE@cs.nyu.edu	New York University	Parsing (State of the art)	Link Grammar	Dependency grammar	http://aclweb.org/aclwiki/index.php?title=Parsing_(State_of_the_art)	Link Grammar	2013	Link Grammar	http://www.cis.upenn.edu/~dbikel/software.html				0				0
Mehmet Ali Yatbaz 	myatbaz@ku.edu.tr 	Koc¸ University 	POS Induction (State of the art)	UPOS 	Learning Syntactic Categories Using Paradigmatic Representations of Word Context 	http://aclweb.org/aclwiki/index.php?title=POS_Induction_(State_of_the_art)#Software	UPOS 	2012	UPOS 	https://github.com/ai-ku/upos/tree/emnlp2012				80.2				0
Mehmet Ali Yatbaz 	myatbaz@ku.edu.tr 	Koc¸ University 	POS Induction (State of the art)	Brown+proto	MRF initialized with Brown prototypes	http://aclweb.org/aclwiki/index.php?title=POS_Induction_(State_of_the_art)#Software	Brown+proto	2012	Brown+proto	http://www.cis.upenn.edu/~dbikel/software.html				76.1				0
Mehmet Ali Yatbaz 	myatbaz@ku.edu.tr 	Koc¸ University 	POS Induction (State of the art)		Logistic regression with features and LBFGS	http://aclweb.org/aclwiki/index.php?title=POS_Induction_(State_of_the_art)#Software	0	2012		http://www.cis.upenn.edu/~dbikel/software.html				75.5				0
Mehmet Ali Yatbaz 	myatbaz@ku.edu.tr 	Koc¸ University 	POS Induction (State of the art)	Clark DMF	Distributional clustering + morphology + frequency	http://aclweb.org/aclwiki/index.php?title=POS_Induction_(State_of_the_art)#Software	Clark DMF	2012	Clark DMF	http://www.cs.rhul.ac.uk/home/alexc/pos2.tar.gz				71.2				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	TnT* 	Hidden markov model 	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	TnT* 	2000	TnT* 	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				96.46				85.86
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	MElt	MEMM with external lexical information	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	MElt	2000	MElt	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				96.96				91.29
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	GENiA Tagger**	Maximum entropy cyclic dependency network	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	GENiA Tagger**	2000	GENiA Tagger**	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.05				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Averaged Perceptron	Averaged Perception discriminative sequence model	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Averaged Perceptron	2000	Averaged Perceptron	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.11				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Maxent easiest-first	Maximum entropy bidirectional easiest-first inference	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Maxent easiest-first	2000	Maxent easiest-first	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.15				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	SVMTool	SVM-based tagger and tagger generator	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	SVMTool	2000	SVMTool	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.16				89.01
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	LAPOS	Perceptron based training with lookahead	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	LAPOS	2000	LAPOS	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.22				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Mor?e/COMPOST	Averaged Perceptron	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Mor?e/COMPOST	2000	Mor?e/COMPOST	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.23				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Mor?e/COMPOST	Averaged Perceptron	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Mor?e/COMPOST	2000	Mor?e/COMPOST	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.44				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Stanford Tagger 1.0	Maximum entropy cyclic dependency network	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Stanford Tagger 1.0	2000	Stanford Tagger 1.0	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.24				89.04
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Stanford Tagger 2.0	Maximum entropy cyclic dependency network	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Stanford Tagger 2.0	2011	Stanford Tagger 2.0	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.29				89.7
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Stanford Tagger 2.0	Maximum entropy cyclic dependency network	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Stanford Tagger 2.0	2000	Stanford Tagger 2.0	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.32				90.79
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	LTAG-spinal	Bidirectional perceptron learning	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	LTAG-spinal	2000	LTAG-spinal	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.33				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	SCCN	Semi-supervised condensed nearest neighbor	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	SCCN	2000	SCCN	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.5				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	CharWNN	MLP with Neural Character Embeddings	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	CharWNN	2000	CharWNN	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.32				89.86
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	structReg	CRFs with structure regularization	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	structReg	2000	structReg	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.36				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	BI-LSTM-CRF	Bidirectional LSTM-CRF Model	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	BI-LSTM-CRF	2015	BI-LSTM-CRF	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.55				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	NLP4J	Dynamic Feature Induction	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	NLP4J	2016	NLP4J	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.64				92.03
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	Morfette	Perceptron with external lexical information*	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	Morfette	2016	Morfette	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.68				90.52
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	SEM	CRF with external lexical information*	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	SEM	2016	SEM	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.7				0
Jinho Choi 	emailexample@aclweb.org	Emory University 	POS Tagging (State of the art)	MElt	MEMM with external lexical information*	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)	MElt	2016	MElt	http://aclweb.org/aclwiki/index.php?title=POS_Tagging_(State_of_the_art)				97.8				91.77
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Punyakanok (2004) 	Wang et al. (2007) 	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Punyakanok (2004) 	2007	Punyakanok (2004) 	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.419				0.494
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Cui (2005)	Wang et al. (2007)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Cui (2005)	2007	Cui (2005)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.427				0.526
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Wang (2007)	Wang et al. (2007)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Wang (2007)	2007	Wang (2007)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.603				0.685
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	H&S (2010)	Heilman and Smith (2010)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	H&S (2010)	2007	H&S (2010)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.609				0.692
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	W&M (2010)	Wang and Manning (2010)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	W&M (2010)	2007	W&M (2010)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.595				0.695
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Yao (2013)	Yao et al. (2013)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Yao (2013)	2007	Yao (2013)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.631				0.748
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	S&M (2013)	Severyn and Moschitti (2013)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	S&M (2013)	2007	S&M (2013)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.678				0.736
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Shnarch (2013) - Backward	Shnarch (2013)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Shnarch (2013) - Backward	2007	Shnarch (2013) - Backward	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.686				0.754
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Yih (2013) - LCLR	Yih et al. (2013)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Yih (2013) - LCLR	2007	Yih (2013) - LCLR	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.709				0.77
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Yu (2014) - TRAIN-ALL bigram+count	Yu et al. (2014)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Yu (2014) - TRAIN-ALL bigram+count	2014	Yu (2014) - TRAIN-ALL bigram+count	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.711				0.785
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	W&N (2015) - Three-Layer BLSTM+BM25	Wang and Nyberg (2015)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	W&N (2015) - Three-Layer BLSTM+BM25	2015	W&N (2015) - Three-Layer BLSTM+BM25	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.713				0.791
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Feng (2015) - Architecture-II	Tan et al. (2015)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Feng (2015) - Architecture-II	2015	Feng (2015) - Architecture-II	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.711				0.8
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	S&M (2015)	Severyn and Moschitti (2015)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	S&M (2015)	2015	S&M (2015)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.746				0.808
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	W&I (2015)	Wang and Ittycheriah (2015)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	W&I (2015)	2015	W&I (2015)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.746				0.82
